phase,hero,film,release_date,us_ca_box_office,row_box_office,total_box_office,budget,rotten_tomatoes,metacritic
Phase 1,Iron Man,Iron Man,02/05/2008,318412101,266762121,585174222,140000000,93,79
Phase 1,Incredible Hulk,The Incredible Hulk,13/06/2008,134806913,128620638,263427551,150000000,67,61
Phase 1,Iron Man,Iron Man 2,07/05/2010,312433331,311500000,623933331,200000000,73,57
Phase 1,Thor,Thor,06/05/2011,181030624,268295994,449326618,150000000,77,57
Phase 1,Captain America,Captain America: The First Avenger,22/07/2011,176654505,193915269,370569774,140000000,80,66
Phase 1,Avengers,Marvel's The Avengers,04/05/2012,623357910,895455078,1518812988,220000000,92,69
Phase 2,Iron Man,Iron Man 3,03/05/2013,409013994,805797258,1214811252,200000000,80,62
Phase 2,Thor,Thor: The Dark World,08/11/2013,206362140,438209262,644571402,170000000,66,54
Phase 2,Captain America,Captain America: The Winter Soldier,04/04/2014,259766572,454497695,714264267,170000000,90,70
Phase 2,Guardians of the Galaxy,Guardians of the Galaxy,01/08/2014,333176600,440152029,773328629,170000000,91,76
Phase 2,Avengers,Avengers: Age of Ultron,01/05/2015,459005868,946397826,1405403694,366000000,75,66
Phase 2,Ant-Man,Ant-Man,17/07/2015,180202163,339109802,519311965,130000000,82,64
Phase 3,Captain America,Captain America: Civil War,06/05/2016,408084349,745220146,1153304495,250000000,91,75
Phase 3,Doctor Strange,Doctor Strange,04/11/2016,232641920,445076475,677718395,165000000,89,72
Phase 3,Guardians of the Galaxy,Guardians of the Galaxy Vol. 2,05/05/2017,389813101,473942950,863756051,200000000,83,67
Phase 3,Spiderman,Spider-Man: Homecoming,07/07/2017,334201140,545965784,880166924,175000000,92,73
Phase 3,Thor,Thor: Ragnarok,03/11/2017,315058289,538918837,853977126,180000000,92,74
Phase 3,Black Panther,Black Panther,16/02/2018,700059566,646853595,1346913161,200000000,97,88
Phase 3,Avengers,Avengers: Infinity War,27/04/2018,678815482,1369372248,2048187730,316000000,85,68
Phase 3,Ant-Man,Ant-Man and the Wasp,06/07/2018,216648740,406025399,622674139,162000000,88,70
